ApplicationType_Limit raise,ApplicationType_New credit,LoanGoal_Car,LoanGoal_Caravan / Camper,LoanGoal_Existing loan takeover,LoanGoal_Extra spending limit,LoanGoal_Home improvement,LoanGoal_Motorcycle,LoanGoal_Not speficied,LoanGoal_Other see explanation,LoanGoal_Remaining debt home,LoanGoal_Unknown,LoanGoal_other,RequestedAmount,CreditScore,timesincefirstcase,duration,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferedAmount,open_cases,month,weekday,hour,treatment
0,1,0,0,1,0,0,0,0,0,0,0,0,20000.0,979,0.0,13.248566,20000.0,498.29,44,20000.0,815,1,3,9,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,899,0.017317,6.13447,500.0,200.0,33,6000.0,431,1,3,11,0
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,1059,0.061376,12.819864,15000.0,158.98,120,15000.0,790,1,2,12,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,834,0.113641,26.988859,3726.0,252.73,72,15700.0,1240,1,1,8,1
0,1,0,0,0,0,1,0,0,0,0,0,0,35000.0,899,0.131123,31.750191,35000.0,366.08,120,35000.0,340,1,2,9,0
0,1,0,0,1,0,0,0,0,0,0,0,0,13000.0,899,0.134775,58.746863,400.0,143.91,120,13000.0,36,1,5,11,0
0,1,0,0,1,0,0,0,0,0,0,0,0,7000.0,899,0.146579,8.101776,8304.0,195.73,40,7000.0,511,1,4,12,1
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,899,0.155684,9.830169,328.0,211.9,84,15000.0,48,1,5,14,0
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,799,0.181953,20.743227,14007.0,282.96,60,15000.0,737,1,1,10,1
0,1,1,0,0,0,0,0,0,0,0,0,0,11000.0,899,0.188959,31.692517,8304.0,220.0,57,11000.0,54,1,5,15,0
0,1,0,0,0,0,0,0,0,1,0,0,0,5000.0,835,0.202331,25.779887,8304.0,250.0,22,5000.0,1243,1,1,11,1
0,1,0,0,0,0,0,0,0,1,0,0,0,5000.0,899,0.256089,31.625412,8304.0,120.0,94,9000.0,348,1,2,10,0
0,1,1,0,0,0,0,0,0,0,0,0,0,6850.0,1021,0.271936,9.721719,6900.0,150.73,53,6900.0,533,1,4,15,1
0,1,0,0,1,0,0,0,0,0,0,0,0,29500.0,899,0.296915,58.58488,8304.0,215.0,127,21500.0,53,1,5,15,0
0,1,0,0,0,0,1,0,0,0,0,0,0,6000.0,770,0.300711,10.828159,6000.0,78.44,100,6000.0,674,1,0,12,1
0,1,0,0,0,0,0,0,0,0,1,0,0,40000.0,899,0.302493,31.578834,8304.0,400.0,126,40000.0,54,1,5,15,0
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,0.33832,9.806399,8304.0,50.0,138,5000.0,633,1,0,7,0
