trace_id,_Start#duration,_Start#end_time,_Start#fixedCost,_Start#occurred,_Start#resourceCost,_Start#start_time,_Start@duration,_Start@fixedCost,_Start@occurred,_Start@resourceCost,A#duration,A#end_time,A#fixedCost,A#occurred,A#resourceCost,A#start_time,A@duration,A@fixedCost,A@occurred,A@resourceCost,B#duration,B#end_time,B#fixedCost,B#occurred,B#resourceCost,B#start_time,B@duration,B@fixedCost,B@occurred,B@resourceCost,C#duration,C#end_time,C#fixedCost,C#occurred,C#resourceCost,C#start_time,C@duration,C@fixedCost,C@occurred,C@resourceCost,D#duration,D#end_time,D#fixedCost,D#occurred,D#resourceCost,D#start_time,D@duration,D@fixedCost,D@occurred,D@resourceCost,E#duration,E#end_time,E#fixedCost,E#occurred,E#resourceCost,E#start_time,E@duration,E@fixedCost,E@occurred,E@resourceCost,F#duration,F#end_time,F#fixedCost,F#occurred,F#resourceCost,F#start_time,F@duration,F@fixedCost,F@occurred,F@resourceCost,G_23#duration,G_23#fixedCost,G_23#occurred,G_23#resourceCost,G_23@duration,G_23@fixedCost,G_23@occurred,G_23@resourceCost,H#duration,H#end_time,H#fixedCost,H#occurred,H#resourceCost,H#start_time,H@duration,H@fixedCost,H@occurred,H@resourceCost,I_event#duration,I_event#end_time,I_event#fixedCost,I_event#occurred,I_event#resourceCost,I_event#start_time,I_event@duration,I_event@fixedCost,I_event@occurred,I_event@resourceCost,J#duration,J#end_time,J#fixedCost,J#occurred,J#resourceCost,J#start_time,J@duration,J@fixedCost,J@occurred,J@resourceCost,K#duration,K#end_time,K#fixedCost,K#occurred,K#resourceCost,K#start_time,K@duration,K@fixedCost,K@occurred,K@resourceCost,L#duration,L#end_time,L#fixedCost,L#occurred,L#resourceCost,L#start_time,L@duration,L@fixedCost,L@occurred,L@resourceCost,_End#duration,_End#end_time,_End#fixedCost,_End#occurred,_End#resourceCost,_End#start_time,_End@duration,_End@fixedCost,_End@occurred,_End@resourceCost,_Path,1_if_A#duration_>_55.0_then_SKIP_B;,2_if_G_23@resourceCost_>_5.0_then_INSERT_L_(_#resourceCost_?N_(50.0_5.0)_);,3_if_C#duration_>_55.0_then_D-F-E;,4_if_F#duration_>_55.0_then_J+K;,_Label
2182,0.0,2023-07-04T15:03:40.000+00:00,0.0,1,0.0,2023-07-04T15:03:40.000+00:00,0.0,0.0,1.0,0.0,48.454,2023-07-11T10:14:54.043+00:00,345.0,1,1.35,2023-07-11T10:14:05.589+00:00,48.454,345.0,2.0,1.35,47.143,2023-07-21T14:36:30.695+00:00,54.0,1,1.31,2023-07-21T14:35:43.552+00:00,95.59700000000001,399.0,3.0,2.66,52.403,2023-07-21T14:37:23.098+00:00,21.0,1,1.46,2023-07-21T14:36:30.695+00:00,148.0,420.0,4.0,4.12,52.061,2023-08-08T09:12:36.524+00:00,324.0,1,1.45,2023-08-08T09:11:44.463+00:00,200.061,744.0,5.0,5.57,54.377,2023-08-08T09:13:30.901+00:00,43.0,1,1.51,2023-08-08T09:12:36.524+00:00,254.43800000000002,787.0,6.0,7.08,48.154,2023-08-08T09:14:19.055+00:00,234.0,1,1.34,2023-08-08T09:13:30.901+00:00,302.59200000000004,1021.0,7.0,8.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.808,2023-08-15T12:46:04.523+00:00,123.0,1.0,1.16,2023-08-15T12:45:22.715+00:00,344.40000000000003,1144.0,8.0,9.58,37.823,2023-08-21T15:22:09.694+00:00,111.0,1,1.05,2023-08-21T15:21:31.871+00:00,382.223,1255.0,9.0,10.63,40.689,2023-08-28T09:23:21.517+00:00,111.0,1,1.13,2023-08-28T09:22:40.828+00:00,422.91200000000003,1366.0,10.0,11.760000000000002,51.271,2023-08-31T15:31:36.256+00:00,11.0,1,1.42,2023-08-31T15:30:44.985+00:00,474.18300000000005,1377.0,11.0,13.180000000000001,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-08-31T15:31:36.256+00:00,0.0,1,0.0,2023-08-31T15:31:36.256+00:00,474.18300000000005,1377.0,12.0,13.180000000000001,"_Start,A,B,C,D,E,F,H,I_event,J,K,_End",0,0,0,0,0.0
1707,0.0,2023-07-04T13:44:30.000+00:00,0.0,1,0.0,2023-07-04T13:44:30.000+00:00,0.0,0.0,1.0,0.0,59.454,2023-07-10T09:16:07.923+00:00,345.0,1,1.65,2023-07-10T09:15:08.469+00:00,59.454,345.0,2.0,1.65,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,53.441,2023-07-19T14:19:25.796+00:00,21.0,1,1.48,2023-07-19T14:18:32.355+00:00,112.89500000000001,366.0,3.0,3.13,52.58,2023-08-03T12:19:38.798+00:00,324.0,1,1.46,2023-08-03T12:18:46.218+00:00,165.47500000000002,690.0,4.0,4.59,48.226,2023-08-03T12:20:27.024+00:00,43.0,1,1.34,2023-08-03T12:19:38.798+00:00,213.70100000000002,733.0,5.0,5.93,54.759,2023-08-03T12:21:21.783+00:00,234.0,1,1.52,2023-08-03T12:20:27.024+00:00,268.46000000000004,967.0,6.0,7.449999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.579,2023-08-14T12:59:04.425+00:00,123.0,1.0,1.49,2023-08-14T12:58:10.846+00:00,322.03900000000004,1090.0,7.0,8.94,48.64,2023-08-18T15:39:28.768+00:00,111.0,1,1.35,2023-08-18T15:38:40.128+00:00,370.67900000000003,1201.0,8.0,10.29,43.305,2023-08-25T09:49:35.432+00:00,111.0,1,1.2,2023-08-25T09:48:52.127+00:00,413.98400000000004,1312.0,9.0,11.489999999999998,54.211,2023-08-30T16:57:01.254+00:00,11.0,1,1.51,2023-08-30T16:56:07.043+00:00,468.19500000000005,1323.0,10.0,12.999999999999998,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-08-30T16:57:01.254+00:00,0.0,1,0.0,2023-08-30T16:57:01.254+00:00,468.19500000000005,1323.0,11.0,12.999999999999998,"_Start,A,C,D,E,F,H,I_event,J,K,_End",1,0,0,0,8.0
1709,0.0,2023-07-04T13:44:50.000+00:00,0.0,1,0.0,2023-07-04T13:44:50.000+00:00,0.0,0.0,1.0,0.0,45.944,2023-07-10T09:19:28.889+00:00,345.0,1,1.28,2023-07-10T09:18:42.945+00:00,45.944,345.0,2.0,1.28,50.928,2023-07-19T14:24:12.148+00:00,54.0,1,1.41,2023-07-19T14:23:21.220+00:00,96.872,399.0,3.0,2.69,51.741,2023-07-19T14:25:03.889+00:00,21.0,1,1.44,2023-07-19T14:24:12.148+00:00,148.613,420.0,4.0,4.13,47.796,2023-08-03T12:25:34.786+00:00,324.0,1,1.33,2023-08-03T12:24:46.990+00:00,196.409,744.0,5.0,5.46,49.001,2023-08-03T12:26:23.787+00:00,43.0,1,1.36,2023-08-03T12:25:34.786+00:00,245.41,787.0,6.0,6.82,51.772,2023-08-03T12:27:15.559+00:00,234.0,1,1.44,2023-08-03T12:26:23.787+00:00,297.182,1021.0,7.0,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.791,2023-08-14T13:01:25.279+00:00,123.0,1.0,1.55,2023-08-14T13:00:29.488+00:00,352.973,1144.0,8.0,9.81,52.319,2023-08-18T15:42:09.854+00:00,111.0,1,1.45,2023-08-18T15:41:17.535+00:00,405.29200000000003,1255.0,9.0,11.26,46.378,2023-08-25T09:52:00.153+00:00,111.0,1,1.29,2023-08-25T09:51:13.775+00:00,451.67,1366.0,10.0,12.55,41.221,2023-08-30T16:58:26.107+00:00,11.0,1,1.15,2023-08-30T16:57:44.886+00:00,492.891,1377.0,11.0,13.700000000000001,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-08-30T16:58:26.107+00:00,0.0,1,0.0,2023-08-30T16:58:26.107+00:00,492.891,1377.0,12.0,13.700000000000001,"_Start,A,B,C,D,E,F,H,I_event,J,K,_End",0,0,0,0,0.0
2180,0.0,2023-07-04T15:03:20.000+00:00,0.0,1,0.0,2023-07-04T15:03:20.000+00:00,0.0,0.0,1.0,0.0,51.336,2023-07-11T10:13:18.054+00:00,345.0,1,1.43,2023-07-11T10:12:26.718+00:00,51.336,345.0,2.0,1.43,53.184,2023-07-21T14:33:09.403+00:00,54.0,1,1.48,2023-07-21T14:32:16.219+00:00,104.52,399.0,3.0,2.91,40.664,2023-07-21T14:33:50.067+00:00,21.0,1,1.13,2023-07-21T14:33:09.403+00:00,145.184,420.0,4.0,4.04,47.595,2023-08-08T09:07:27.907+00:00,324.0,1,1.32,2023-08-08T09:06:40.312+00:00,192.779,744.0,5.0,5.36,45.34,2023-08-08T09:08:13.247+00:00,43.0,1,1.26,2023-08-08T09:07:27.907+00:00,238.119,787.0,6.0,6.62,60.776,2023-08-08T09:09:14.023+00:00,234.0,1,1.69,2023-08-08T09:08:13.247+00:00,298.895,1021.0,7.0,8.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.931,2023-08-15T12:44:37.600+00:00,123.0,1.0,1.44,2023-08-15T12:43:45.669+00:00,350.82599999999996,1144.0,8.0,9.75,50.515,2023-08-21T15:20:43.892+00:00,111.0,1,1.4,2023-08-21T15:19:53.377+00:00,401.34099999999995,1255.0,9.0,11.15,52.223,2023-08-28T09:21:39.355+00:00,111.0,1,1.45,2023-08-28T09:20:47.132+00:00,453.56399999999996,1366.0,10.0,12.6,61.461,2023-08-31T15:29:11.760000+00:00,11.0,1,1.71,2023-08-31T15:28:10.299000+00:00,515.025,1377.0,11.0,14.309999999999999,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-08-31T15:29:11.760000+00:00,0.0,1,0.0,2023-08-31T15:29:11.760000+00:00,515.025,1377.0,12.0,14.309999999999999,"_Start,A,B,C,D,E,F,H,I_event,J,K,_End",0,0,0,1,1.0
2184,0.0,2023-07-04T15:04:00.000+00:00,0.0,1,0.0,2023-07-04T15:04:00.000+00:00,0.0,0.0,1.0,0.0,47.914,2023-07-11T10:16:34.870+00:00,345.0,1,1.33,2023-07-11T10:15:46.956+00:00,47.914,345.0,2.0,1.33,48.328,2023-07-21T14:39:50.656+00:00,54.0,1,1.34,2023-07-21T14:39:02.328+00:00,96.242,399.0,3.0,2.67,44.599,2023-07-21T14:40:35.255+00:00,21.0,1,1.24,2023-07-21T14:39:50.656+00:00,140.841,420.0,4.0,3.91,54.446,2023-08-08T09:17:43.392+00:00,324.0,1,1.51,2023-08-08T09:16:48.946+00:00,195.287,744.0,5.0,5.42,45.205,2023-08-08T09:18:28.597+00:00,43.0,1,1.26,2023-08-08T09:17:43.392+00:00,240.49200000000002,787.0,6.0,6.68,54.057,2023-08-08T09:19:22.654+00:00,234.0,1,1.5,2023-08-08T09:18:28.597+00:00,294.54900000000004,1021.0,7.0,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.204,2023-08-15T12:47:43.811+00:00,123.0,1.0,1.42,2023-08-15T12:46:52.607+00:00,345.75300000000004,1144.0,8.0,9.6,50.207,2023-08-21T15:23:50.758+00:00,111.0,1,1.39,2023-08-21T15:23:00.551+00:00,395.96000000000004,1255.0,9.0,10.99,44.877,2023-08-28T09:24:59.146+00:00,111.0,1,1.25,2023-08-28T09:24:14.269+00:00,440.83700000000005,1366.0,10.0,12.24,44.856,2023-08-31T15:33:15.124+00:00,11.0,1,1.25,2023-08-31T15:32:30.268+00:00,485.69300000000004,1377.0,11.0,13.49,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-08-31T15:33:15.124+00:00,0.0,1,0.0,2023-08-31T15:33:15.124+00:00,485.69300000000004,1377.0,12.0,13.49,"_Start,A,B,C,D,E,F,H,I_event,J,K,_End",0,0,0,0,0.0
1705,0.0,2023-07-04T13:44:10.000+00:00,0.0,1,0.0,2023-07-04T13:44:10.000+00:00,0.0,0.0,1.0,0.0,55.635,2023-07-10T09:14:14.276+00:00,345.0,1,1.55,2023-07-10T09:13:18.641+00:00,55.635,345.0,2.0,1.55,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,56.032,2023-07-19T14:16:10.017+00:00,21.0,1,1.56,2023-07-19T14:15:13.985+00:00,111.667,366.0,3.0,3.1100000000000003,46.627,2023-08-03T12:14:27.212+00:00,324.0,1,1.3,2023-08-03T12:13:40.585+00:00,158.294,690.0,4.0,4.41,49.053,2023-08-03T12:18:28.143000+00:00,43.0,1,1.36,2023-08-03T12:17:39.090000+00:00,207.347,733.0,5.0,5.7700000000000005,49.571,2023-08-03T12:16:52.463000+00:00,234.0,1,1.38,2023-08-03T12:16:02.892000+00:00,256.918,967.0,6.0,7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.655,2023-08-14T13:00:28.034000+00:00,123.0,1.0,1.35,2023-08-14T12:59:39.379000+00:00,305.573,1090.0,7.0,8.5,45.023,2023-08-18T15:40:55.869000+00:00,111.0,1,1.25,2023-08-18T15:40:10.846000+00:00,350.596,1201.0,8.0,9.75,55.138,2023-08-25T09:51:16.217000+00:00,111.0,1,1.53,2023-08-25T09:50:21.079000+00:00,405.734,1312.0,9.0,11.28,43.397,2023-08-30T16:58:26.361000+00:00,11.0,1,1.21,2023-08-30T16:57:42.964000+00:00,449.131,1323.0,10.0,12.489999999999998,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-08-30T16:58:26.361000+00:00,0.0,1,0.0,2023-08-30T16:58:26.361000+00:00,449.131,1323.0,11.0,12.489999999999998,"_Start,A,C,D,F,E,H,I_event,J,K,_End",1,0,1,0,10.0
2068,0.0,2023-07-04T14:44:40.000+00:00,0.0,1,0.0,2023-07-04T14:44:40.000+00:00,0.0,0.0,1.0,0.0,43.722,2023-07-10T16:07:14.372+00:00,345.0,1,1.21,2023-07-10T16:06:30.650+00:00,43.722,345.0,2.0,1.21,58.613,2023-07-21T10:40:11.170+00:00,54.0,1,1.63,2023-07-21T10:39:12.557+00:00,102.33500000000001,399.0,3.0,2.84,45.394,2023-07-21T10:40:56.564+00:00,21.0,1,1.26,2023-07-21T10:40:11.170+00:00,147.729,420.0,4.0,4.1,49.829,2023-08-07T12:10:42.998+00:00,324.0,1,1.38,2023-08-07T12:09:53.169+00:00,197.55800000000002,744.0,5.0,5.4799999999999995,51.656,2023-08-07T12:11:34.654+00:00,43.0,1,1.43,2023-08-07T12:10:42.998+00:00,249.21400000000003,787.0,6.0,6.909999999999999,48.66,2023-08-07T12:12:23.314+00:00,234.0,1,1.35,2023-08-07T12:11:34.654+00:00,297.874,1021.0,7.0,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.416,2023-08-15T10:52:43.922+00:00,123.0,1.0,1.32,2023-08-15T10:51:56.506+00:00,345.29,1144.0,8.0,9.58,52.926,2023-08-21T13:31:30.848+00:00,111.0,1,1.47,2023-08-21T13:30:37.922+00:00,398.216,1255.0,9.0,11.05,56.457,2023-08-25T15:34:22.186+00:00,111.0,1,1.57,2023-08-25T15:33:25.729+00:00,454.673,1366.0,10.0,12.620000000000001,59.141,2023-08-31T13:57:01.044+00:00,11.0,1,1.64,2023-08-31T13:56:01.903+00:00,513.814,1377.0,11.0,14.260000000000002,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-08-31T13:57:01.044+00:00,0.0,1,0.0,2023-08-31T13:57:01.044+00:00,513.814,1377.0,12.0,14.260000000000002,"_Start,A,B,C,D,E,F,H,I_event,J,K,_End",0,0,0,0,0.0
1821,0.0,2023-07-04T14:03:30.000+00:00,0.0,1,0.0,2023-07-04T14:03:30.000+00:00,0.0,0.0,1.0,0.0,48.42,2023-07-10T11:25:20.963+00:00,345.0,1,1.35,2023-07-10T11:24:32.543+00:00,48.42,345.0,2.0,1.35,43.227,2023-07-20T10:10:45.354+00:00,54.0,1,1.2,2023-07-20T10:10:02.127+00:00,91.64699999999999,399.0,3.0,2.55,35.036,2023-07-20T10:11:20.390+00:00,21.0,1,0.97,2023-07-20T10:10:45.354+00:00,126.68299999999999,420.0,4.0,3.5199999999999996,50.68,2023-08-04T09:20:40.563+00:00,324.0,1,1.41,2023-08-04T09:19:49.883+00:00,177.363,744.0,5.0,4.93,47.298,2023-08-04T09:21:27.861+00:00,43.0,1,1.31,2023-08-04T09:20:40.563+00:00,224.661,787.0,6.0,6.24,41.384,2023-08-04T09:22:09.245+00:00,234.0,1,1.15,2023-08-04T09:21:27.861+00:00,266.045,1021.0,7.0,7.390000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.582,2023-08-14T14:48:51.461+00:00,123.0,1.0,1.27,2023-08-14T14:48:05.879+00:00,311.627,1144.0,8.0,8.66,59.093,2023-08-21T09:29:58.321+00:00,111.0,1,1.64,2023-08-21T09:28:59.228+00:00,370.72,1255.0,9.0,10.3,43.168,2023-08-25T11:38:37.133+00:00,111.0,1,1.2,2023-08-25T11:37:53.965+00:00,413.88800000000003,1366.0,10.0,11.5,55.661,2023-08-31T10:32:49.135+00:00,11.0,1,1.55,2023-08-31T10:31:53.474+00:00,469.54900000000004,1377.0,11.0,13.05,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-08-31T10:32:49.135+00:00,0.0,1,0.0,2023-08-31T10:32:49.135+00:00,469.54900000000004,1377.0,12.0,13.05,"_Start,A,B,C,D,E,F,H,I_event,J,K,_End",0,0,0,0,0.0
2066,0.0,2023-07-04T14:44:20.000+00:00,0.0,1,0.0,2023-07-04T14:44:20.000+00:00,0.0,0.0,1.0,0.0,62.209,2023-07-10T16:05:55.001+00:00,345.0,1,1.73,2023-07-10T16:04:52.792+00:00,62.209,345.0,2.0,1.73,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,53.396,2023-07-21T10:37:40.079+00:00,21.0,1,1.48,2023-07-21T10:36:46.683+00:00,115.605,366.0,3.0,3.21,46.754,2023-08-07T12:05:52.142+00:00,324.0,1,1.3,2023-08-07T12:05:05.388+00:00,162.359,690.0,4.0,4.51,45.084,2023-08-07T12:06:37.226+00:00,43.0,1,1.25,2023-08-07T12:05:52.142+00:00,207.443,733.0,5.0,5.76,49.374,2023-08-07T12:07:26.600+00:00,234.0,1,1.37,2023-08-07T12:06:37.226+00:00,256.817,967.0,6.0,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.585,2023-08-15T10:50:58.793+00:00,123.0,1.0,1.13,2023-08-15T10:50:18.208+00:00,297.402,1090.0,7.0,8.26,45.835,2023-08-21T13:29:56.773+00:00,111.0,1,1.27,2023-08-21T13:29:10.938+00:00,343.23699999999997,1201.0,8.0,9.53,44.215,2023-08-25T15:32:38.493+00:00,111.0,1,1.23,2023-08-25T15:31:54.278+00:00,387.452,1312.0,9.0,10.76,56.286,2023-08-31T13:55:07.547+00:00,11.0,1,1.56,2023-08-31T13:54:11.261+00:00,443.738,1323.0,10.0,12.32,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-08-31T13:55:07.547+00:00,0.0,1,0.0,2023-08-31T13:55:07.547+00:00,443.738,1323.0,11.0,12.32,"_Start,A,C,D,E,F,H,I_event,J,K,_End",1,0,0,0,8.0
1823,0.0,2023-07-04T14:03:50.000+00:00,0.0,1,0.0,2023-07-04T14:03:50.000+00:00,0.0,0.0,1.0,0.0,51.002,2023-07-10T11:28:38.794+00:00,345.0,1,1.42,2023-07-10T11:27:47.792+00:00,51.002,345.0,2.0,1.42,55.5,2023-07-20T10:16:08.000+00:00,54.0,1,1.54,2023-07-20T10:15:12.500+00:00,106.50200000000001,399.0,3.0,2.96,57.91,2023-07-20T10:17:05.910+00:00,21.0,1,1.61,2023-07-20T10:16:08.000+00:00,164.412,420.0,4.0,4.57,47.37,2023-08-04T09:26:10.002+00:00,324.0,1,1.32,2023-08-04T09:25:22.632+00:00,211.782,744.0,5.0,5.890000000000001,44.85,2023-08-04T09:30:08.249000+00:00,43.0,1,1.25,2023-08-04T09:29:23.399000+00:00,256.632,787.0,6.0,7.140000000000001,53.807,2023-08-04T09:28:36.029000+00:00,234.0,1,1.49,2023-08-04T09:27:42.222000+00:00,310.439,1021.0,7.0,8.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.852,2023-08-14T14:54:36.625000+00:00,123.0,1.0,1.38,2023-08-14T14:53:46.773000+00:00,360.291,1144.0,8.0,10.010000000000002,49.898,2023-08-21T09:35:46.151000+00:00,111.0,1,1.39,2023-08-21T09:34:56.253000+00:00,410.189,1255.0,9.0,11.400000000000002,44.245,2023-08-25T11:44:21.739000+00:00,111.0,1,1.23,2023-08-25T11:43:37.494000+00:00,454.434,1366.0,10.0,12.630000000000003,46.356,2023-08-31T10:37:28.158000+00:00,11.0,1,1.29,2023-08-31T10:36:41.802000+00:00,500.79,1377.0,11.0,13.920000000000002,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-08-31T10:37:28.158000+00:00,0.0,1,0.0,2023-08-31T10:37:28.158000+00:00,500.79,1377.0,12.0,13.920000000000002,"_Start,A,B,C,D,F,E,H,I_event,J,K,_End",0,0,1,0,2.0
