trace_id,_Start#duration,_Start#end_time,_Start#fixedCost,_Start#occurred,_Start#resourceCost,_Start#start_time,_Start@duration,_Start@fixedCost,_Start@occurred,_Start@resourceCost,A#duration,A#end_time,A#fixedCost,A#occurred,A#resourceCost,A#start_time,A@duration,A@fixedCost,A@occurred,A@resourceCost,B#duration,B#end_time,B#fixedCost,B#occurred,B#resourceCost,B#start_time,B@duration,B@fixedCost,B@occurred,B@resourceCost,C#duration,C#end_time,C#fixedCost,C#occurred,C#resourceCost,C#start_time,C@duration,C@fixedCost,C@occurred,C@resourceCost,D#duration,D#end_time,D#fixedCost,D#occurred,D#resourceCost,D#start_time,D@duration,D@fixedCost,D@occurred,D@resourceCost,E#duration,E#end_time,E#fixedCost,E#occurred,E#resourceCost,E#start_time,E@duration,E@fixedCost,E@occurred,E@resourceCost,F#duration,F#end_time,F#fixedCost,F#occurred,F#resourceCost,F#start_time,F@duration,F@fixedCost,F@occurred,F@resourceCost,G#duration,G#fixedCost,G#occurred,G#resourceCost,G@duration,G@fixedCost,G@occurred,G@resourceCost,H#duration,H#end_time,H#fixedCost,H#occurred,H#resourceCost,H#start_time,H@duration,H@fixedCost,H@occurred,H@resourceCost,_End#duration,_End#end_time,_End#fixedCost,_End#occurred,_End#resourceCost,_End#start_time,_End@duration,_End@fixedCost,_End@occurred,_End@resourceCost,_Path,1_if_A#duration_>_515.0_then_SKIP_B;,_Label
60,0.0,2023-06-28T09:50:00.000+00:00,0.0,1,0.0,2023-06-28T09:50:00.000+00:00,0.0,0.0,1.0,0.0,478.672,2023-06-28T17:33:55.976+00:00,10.0,1,6.65,2023-06-28T17:25:57.304+00:00,478.672,10.0,2.0,6.65,86.612,2023-06-29T07:40:47.129+00:00,50.0,1,1.2,2023-06-29T07:39:20.517+00:00,565.284,60.0,3.0,7.8500000000000005,50.0,2023-06-29T07:41:37.129+00:00,10.0,1,0.69,2023-06-29T07:40:47.129+00:00,615.284,70.0,4.0,8.540000000000001,55.439,2023-06-29T12:08:31.249+00:00,5.0,1,0.77,2023-06-29T12:07:35.810+00:00,670.723,75.0,5.0,9.31,50.0,2023-06-29T12:09:21.249+00:00,0.0,1,0.0,2023-06-29T12:08:31.249+00:00,720.723,75.0,6.0,9.31,2.104,2023-06-29T12:09:23.353+00:00,0.0,1,0.03,2023-06-29T12:09:21.249+00:00,722.827,75.0,7.0,9.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.845,2023-06-29T17:05:09.948+00:00,0.0,1.0,3.48,2023-06-29T17:00:59.103+00:00,973.672,75.0,8.0,12.82,0.0,2023-06-29T17:05:09.948+00:00,0.0,1,0.0,2023-06-29T17:05:09.948+00:00,973.672,75.0,9.0,12.82,"_Start,A,B,C,D,E,F,H,_End",0,0.0
61,0.0,2023-06-28T09:50:50.000+00:00,0.0,1,0.0,2023-06-28T09:50:50.000+00:00,0.0,0.0,1.0,0.0,488.303,2023-06-28T17:42:04.279+00:00,10.0,1,6.78,2023-06-28T17:33:55.976+00:00,488.303,10.0,2.0,6.78,41.906,2023-06-29T07:42:19.035+00:00,50.0,1,0.58,2023-06-29T07:41:37.129+00:00,530.209,60.0,3.0,7.36,50.0,2023-06-29T07:43:09.035+00:00,10.0,1,0.69,2023-06-29T07:42:19.035+00:00,580.209,70.0,4.0,8.05,25.973,2023-06-29T12:09:49.326+00:00,5.0,1,0.36,2023-06-29T12:09:23.353+00:00,606.1819999999999,75.0,5.0,8.41,50.0,2023-06-29T12:10:39.326+00:00,0.0,1,0.0,2023-06-29T12:09:49.326+00:00,656.1819999999999,75.0,6.0,8.41,47.78,2023-06-29T12:11:27.106+00:00,0.0,1,0.66,2023-06-29T12:10:39.326+00:00,703.9619999999999,75.0,7.0,9.07,20.0,0.0,1.0,0.28,723.9619999999999,75.0,8.0,9.35,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-06-29T17:05:29.948+00:00,0.0,1,0.0,2023-06-29T17:05:29.948+00:00,723.9619999999999,75.0,9.0,9.35,"_Start,A,B,C,D,E,F,G,_End",0,0.0
62,0.0,2023-06-28T09:51:40.000+00:00,0.0,1,0.0,2023-06-28T09:51:40.000+00:00,0.0,0.0,1.0,0.0,482.364,2023-06-28T17:51:58.319+00:00,10.0,1,6.7,2023-06-28T17:43:55.955+00:00,482.364,10.0,2.0,6.7,38.489,2023-06-29T07:45:40.106+00:00,50.0,1,0.53,2023-06-29T07:45:01.617+00:00,520.853,60.0,3.0,7.23,50.0,2023-06-29T07:46:30.106+00:00,10.0,1,0.69,2023-06-29T07:45:40.106+00:00,570.853,70.0,4.0,7.92,58.456,2023-06-29T12:16:33.138+00:00,5.0,1,0.81,2023-06-29T12:15:34.682+00:00,629.309,75.0,5.0,8.73,50.0,2023-06-29T12:17:23.138+00:00,0.0,1,0.0,2023-06-29T12:16:33.138+00:00,679.309,75.0,6.0,8.73,34.038,2023-06-29T12:17:57.176+00:00,0.0,1,0.47,2023-06-29T12:17:23.138+00:00,713.347,75.0,7.0,9.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.483,2023-06-29T17:10:01.431+00:00,0.0,1.0,3.77,2023-06-29T17:05:29.948+00:00,984.8299999999999,75.0,8.0,12.97,0.0,2023-06-29T17:10:01.431+00:00,0.0,1,0.0,2023-06-29T17:10:01.431+00:00,984.8299999999999,75.0,9.0,12.97,"_Start,A,B,C,D,E,F,H,_End",0,0.0
25,0.0,2023-06-28T09:20:50.000+00:00,0.0,1,0.0,2023-06-28T09:20:50.000+00:00,0.0,0.0,1.0,0.0,510.704,2023-06-28T12:39:54.184+00:00,10.0,1,7.09,2023-06-28T12:31:23.480+00:00,510.704,10.0,2.0,7.09,33.581,2023-06-29T06:32:04.727+00:00,50.0,1,0.47,2023-06-29T06:31:31.146+00:00,544.285,60.0,3.0,7.56,50.0,2023-06-29T06:32:54.727+00:00,10.0,1,0.69,2023-06-29T06:32:04.727+00:00,594.285,70.0,4.0,8.25,37.344,2023-06-29T10:45:54.959+00:00,5.0,1,0.52,2023-06-29T10:45:17.615+00:00,631.629,75.0,5.0,8.77,50.0,2023-06-29T10:46:44.959+00:00,0.0,1,0.0,2023-06-29T10:45:54.959+00:00,681.629,75.0,6.0,8.77,15.908,2023-06-29T10:47:00.867+00:00,0.0,1,0.22,2023-06-29T10:46:44.959+00:00,697.537,75.0,7.0,8.99,20.0,0.0,1.0,0.28,717.537,75.0,8.0,9.27,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-06-29T16:00:06.189+00:00,0.0,1,0.0,2023-06-29T16:00:06.189+00:00,717.537,75.0,9.0,9.27,"_Start,A,B,C,D,E,F,G,_End",0,0.0
140,0.0,2023-06-28T10:56:40.000+00:00,0.0,1,0.0,2023-06-28T10:56:40.000+00:00,0.0,0.0,1.0,0.0,505.001,2023-06-29T04:55:44.632+00:00,10.0,1,7.01,2023-06-29T04:47:19.631+00:00,505.001,10.0,2.0,7.01,37.532,2023-06-29T10:05:31.139+00:00,50.0,1,0.52,2023-06-29T10:04:53.607+00:00,542.533,60.0,3.0,7.529999999999999,50.0,2023-06-29T10:06:21.139+00:00,10.0,1,0.69,2023-06-29T10:05:31.139+00:00,592.533,70.0,4.0,8.219999999999999,44.314,2023-06-29T15:12:13.744+00:00,5.0,1,0.62,2023-06-29T15:11:29.430+00:00,636.847,75.0,5.0,8.839999999999998,50.0,2023-06-29T15:13:03.744+00:00,0.0,1,0.0,2023-06-29T15:12:13.744+00:00,686.847,75.0,6.0,8.839999999999998,13.63,2023-06-29T15:13:17.374+00:00,0.0,1,0.19,2023-06-29T15:13:03.744+00:00,700.477,75.0,7.0,9.029999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.525,2023-06-29T19:51:21.887+00:00,0.0,1.0,3.74,2023-06-29T19:46:52.362+00:00,970.002,75.0,8.0,12.769999999999998,0.0,2023-06-29T19:51:21.887+00:00,0.0,1,0.0,2023-06-29T19:51:21.887+00:00,970.002,75.0,9.0,12.769999999999998,"_Start,A,B,C,D,E,F,H,_End",0,0.0
26,0.0,2023-06-28T09:21:40.000+00:00,0.0,1,0.0,2023-06-28T09:21:40.000+00:00,0.0,0.0,1.0,0.0,523.371,2023-06-28T12:48:37.555+00:00,10.0,1,7.27,2023-06-28T12:39:54.184+00:00,523.371,10.0,2.0,7.27,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,50.0,2023-06-29T06:34:28.002+00:00,10.0,1,0.69,2023-06-29T06:33:38.002+00:00,573.371,20.0,3.0,7.959999999999999,28.829,2023-06-29T10:47:29.696+00:00,5.0,1,0.4,2023-06-29T10:47:00.867+00:00,602.1999999999999,25.0,4.0,8.36,50.0,2023-06-29T10:48:19.696+00:00,0.0,1,0.0,2023-06-29T10:47:29.696+00:00,652.1999999999999,25.0,5.0,8.36,57.032,2023-06-29T10:49:16.728+00:00,0.0,1,0.79,2023-06-29T10:48:19.696+00:00,709.232,25.0,6.0,9.149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.081,2023-06-29T16:04:27.270+00:00,0.0,1.0,3.63,2023-06-29T16:00:06.189+00:00,970.313,25.0,7.0,12.779999999999998,0.0,2023-06-29T16:04:27.270+00:00,0.0,1,0.0,2023-06-29T16:04:27.270+00:00,970.313,25.0,8.0,12.779999999999998,"_Start,A,C,D,E,F,H,_End",1,1.0
69,0.0,2023-06-28T09:57:30.000+00:00,0.0,1,0.0,2023-06-28T09:57:30.000+00:00,0.0,0.0,1.0,0.0,515.989,2023-06-28T18:51:00.447+00:00,10.0,1,7.17,2023-06-28T18:42:24.458+00:00,515.989,10.0,2.0,7.17,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,50.0,2023-06-29T07:59:06.475+00:00,10.0,1,0.69,2023-06-29T07:58:16.475+00:00,565.989,20.0,3.0,7.859999999999999,48.123,2023-06-29T12:31:26.626+00:00,5.0,1,0.67,2023-06-29T12:30:38.503+00:00,614.1120000000001,25.0,4.0,8.53,50.0,2023-06-29T12:32:16.626+00:00,0.0,1,0.0,2023-06-29T12:31:26.626+00:00,664.1120000000001,25.0,5.0,8.53,3.68,2023-06-29T12:32:20.306+00:00,0.0,1,0.05,2023-06-29T12:32:16.626+00:00,667.792,25.0,6.0,8.58,20.0,0.0,1.0,0.28,687.792,25.0,7.0,8.86,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-06-29T17:20:02.078+00:00,0.0,1,0.0,2023-06-29T17:20:02.078+00:00,687.792,25.0,8.0,8.86,"_Start,A,C,D,E,F,G,_End",1,1.0
141,0.0,2023-06-28T10:57:30.000+00:00,0.0,1,0.0,2023-06-28T10:57:30.000+00:00,0.0,0.0,1.0,0.0,479.778,2023-06-29T05:03:44.410+00:00,10.0,1,6.66,2023-06-29T04:55:44.632+00:00,479.778,10.0,2.0,6.66,7.2,2023-06-29T10:06:28.339+00:00,50.0,1,0.1,2023-06-29T10:06:21.139+00:00,486.978,60.0,3.0,6.76,50.0,2023-06-29T10:07:18.339+00:00,10.0,1,0.69,2023-06-29T10:06:28.339+00:00,536.9780000000001,70.0,4.0,7.449999999999999,43.37,2023-06-29T15:14:00.744+00:00,5.0,1,0.6,2023-06-29T15:13:17.374+00:00,580.3480000000001,75.0,5.0,8.049999999999999,50.0,2023-06-29T15:14:50.744+00:00,0.0,1,0.0,2023-06-29T15:14:00.744+00:00,630.3480000000001,75.0,6.0,8.049999999999999,22.464,2023-06-29T15:15:13.208+00:00,0.0,1,0.31,2023-06-29T15:14:50.744+00:00,652.8120000000001,75.0,7.0,8.36,20.0,0.0,1.0,0.28,672.8120000000001,75.0,8.0,8.639999999999999,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-06-29T19:51:41.887+00:00,0.0,1,0.0,2023-06-29T19:51:41.887+00:00,672.8120000000001,75.0,9.0,8.639999999999999,"_Start,A,B,C,D,E,F,G,_End",0,0.0
27,0.0,2023-06-28T09:22:30.000+00:00,0.0,1,0.0,2023-06-28T09:22:30.000+00:00,0.0,0.0,1.0,0.0,494.394,2023-06-28T12:56:51.949+00:00,10.0,1,6.87,2023-06-28T12:48:37.555+00:00,494.394,10.0,2.0,6.87,41.158,2023-06-29T06:35:09.160+00:00,50.0,1,0.57,2023-06-29T06:34:28.002+00:00,535.552,60.0,3.0,7.44,50.0,2023-06-29T06:35:59.160+00:00,10.0,1,0.69,2023-06-29T06:35:09.160+00:00,585.552,70.0,4.0,8.13,58.687,2023-06-29T10:50:15.415+00:00,5.0,1,0.82,2023-06-29T10:49:16.728+00:00,644.239,75.0,5.0,8.950000000000001,50.0,2023-06-29T10:51:05.415+00:00,0.0,1,0.0,2023-06-29T10:50:15.415+00:00,694.239,75.0,6.0,8.950000000000001,21.672,2023-06-29T10:51:27.087+00:00,0.0,1,0.3,2023-06-29T10:51:05.415+00:00,715.9110000000001,75.0,7.0,9.250000000000002,20.0,0.0,1.0,0.28,735.9110000000001,75.0,8.0,9.530000000000001,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-06-29T16:04:47.270+00:00,0.0,1,0.0,2023-06-29T16:04:47.270+00:00,735.9110000000001,75.0,9.0,9.530000000000001,"_Start,A,B,C,D,E,F,G,_End",0,0.0
29,0.0,2023-06-28T09:24:10.000+00:00,0.0,1,0.0,2023-06-28T09:24:10.000+00:00,0.0,0.0,1.0,0.0,499.691,2023-06-28T13:13:14.992+00:00,10.0,1,6.94,2023-06-28T13:04:55.301+00:00,499.691,10.0,2.0,6.94,13.57,2023-06-29T06:37:50.498+00:00,50.0,1,0.19,2023-06-29T06:37:36.928+00:00,513.261,60.0,3.0,7.130000000000001,50.0,2023-06-29T06:38:40.498+00:00,10.0,1,0.69,2023-06-29T06:37:50.498+00:00,563.261,70.0,4.0,7.82,22.319,2023-06-29T10:54:24.124+00:00,5.0,1,0.31,2023-06-29T10:54:01.805+00:00,585.5799999999999,75.0,5.0,8.13,50.0,2023-06-29T10:55:14.124+00:00,0.0,1,0.0,2023-06-29T10:54:24.124+00:00,635.5799999999999,75.0,6.0,8.13,2.924,2023-06-29T10:55:17.048+00:00,0.0,1,0.04,2023-06-29T10:55:14.124+00:00,638.5039999999999,75.0,7.0,8.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.669,2023-06-29T16:09:26.939+00:00,0.0,1.0,3.61,2023-06-29T16:05:07.270+00:00,898.1729999999999,75.0,8.0,11.78,0.0,2023-06-29T16:09:26.939+00:00,0.0,1,0.0,2023-06-29T16:09:26.939+00:00,898.1729999999999,75.0,9.0,11.78,"_Start,A,B,C,D,E,F,H,_End",0,0.0
