trace_id,_Start#duration,_Start#end_time,_Start#occurred,_Start#resourceCost,_Start#start_time,_Start@duration,_Start@occurred,_Start@resourceCost,A_Cancelled#duration,A_Cancelled#end_time,A_Cancelled#occurred,A_Cancelled#resourceCost,A_Cancelled#start_time,A_Cancelled@duration,A_Cancelled@occurred,A_Cancelled@resourceCost,A_Create_Application#duration,A_Create_Application#end_time,A_Create_Application#occurred,A_Create_Application#resourceCost,A_Create_Application#start_time,A_Create_Application@duration,A_Create_Application@occurred,A_Create_Application@resourceCost,A_Denied#duration,A_Denied#occurred,A_Denied#resourceCost,A_Denied@duration,A_Denied@occurred,A_Denied@resourceCost,A_Pending#duration,A_Pending#occurred,A_Pending#resourceCost,A_Pending@duration,A_Pending@occurred,A_Pending@resourceCost,W_Call_incomplete_files#duration,W_Call_incomplete_files#end_time,W_Call_incomplete_files#occurred,W_Call_incomplete_files#resourceCost,W_Call_incomplete_files#start_time,W_Call_incomplete_files@duration,W_Call_incomplete_files@occurred,W_Call_incomplete_files@resourceCost,W_Complete_application#duration,W_Complete_application#end_time,W_Complete_application#occurred,W_Complete_application#resourceCost,W_Complete_application#start_time,W_Complete_application@duration,W_Complete_application@occurred,W_Complete_application@resourceCost,W_Validate_application#duration,W_Validate_application#end_time,W_Validate_application#occurred,W_Validate_application#resourceCost,W_Validate_application#start_time,W_Validate_application@duration,W_Validate_application@occurred,W_Validate_application@resourceCost,_End#duration,_End#end_time,_End#occurred,_End#resourceCost,_End#start_time,_End@duration,_End@occurred,_End@resourceCost,_Path,1_if_W_Validate_application#duration_<_3600.0_then_INSERT_W_Call_incomplete_files_(_#duration_3600.0_);,_Label
192,0.0,2024-05-02T16:00:00.000+00:00,1,0.0,2024-05-02T16:00:00.000+00:00,0.0,1.0,0.0,3600.0,2024-05-03T12:00:07.956+00:00,1.0,20.0,2024-05-03T11:00:07.956+00:00,14407.956,5.0,80.03999999999999,3600.0,2024-05-03T09:00:00.000+00:00,1,20.0,2024-05-03T08:00:00.000+00:00,3600.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3600.0,2024-05-03T10:00:00.000+00:00,1,20.0,2024-05-03T09:00:00.000+00:00,7200.0,3.0,40.0,3607.956,2024-05-03T11:00:07.956+00:00,1,20.04,2024-05-03T10:00:00.000+00:00,10807.956,4.0,60.04,0.0,2024-05-03T12:00:07.956+00:00,1,0.0,2024-05-03T12:00:07.956+00:00,14407.956,6.0,80.03999999999999,"_Start,A_Create_Application,W_Complete_application,W_Validate_application,A_Cancelled,_End",0,0.0
190,0.0,2024-05-02T14:00:00.000+00:00,1,0.0,2024-05-02T14:00:00.000+00:00,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3600.0,2024-05-02T15:00:00.000+00:00,1,20.0,2024-05-02T14:00:00.000+00:00,3600.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,1.0,20.0,17425.034,6.0,76.81,3600.0,2024-05-03T09:50:25.034000+00:00,1.0,0.0,2024-05-03T08:50:25.034+00:00,13825.034,5.0,56.81,3600.0,2024-05-02T16:00:00.000+00:00,1,20.0,2024-05-02T15:00:00.000+00:00,7200.0,3.0,40.0,3025.034,2024-05-03T08:50:25.034+00:00,1,16.81,2024-05-03T08:00:00.000+00:00,10225.034,4.0,56.81,0.0,2024-05-03T10:50:25.034000+00:00,1,0.0,2024-05-03T10:50:25.034000+00:00,17425.034,7.0,76.81,"_Start,A_Create_Application,W_Complete_application,W_Validate_application,W_Call_incomplete_files,A_Pending,_End",1,1.0
194,0.0,2024-05-03T10:00:00.000+00:00,1,0.0,2024-05-03T10:00:00.000+00:00,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3600.0,2024-05-03T11:00:00.000+00:00,1,20.0,2024-05-03T10:00:00.000+00:00,3600.0,2.0,20.0,3600.0,1.0,20.0,16858.434,6.0,73.66,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2024-05-03T13:40:58.434000+00:00,1.0,0.0,2024-05-03T12:40:58.434+00:00,13258.434000000001,5.0,53.66,3600.0,2024-05-03T12:00:00.000+00:00,1,20.0,2024-05-03T11:00:00.000+00:00,7200.0,3.0,40.0,2458.434,2024-05-03T12:40:58.434+00:00,1,13.66,2024-05-03T12:00:00.000+00:00,9658.434000000001,4.0,53.66,0.0,2024-05-03T14:40:58.434000+00:00,1,0.0,2024-05-03T14:40:58.434000+00:00,16858.434,7.0,73.66,"_Start,A_Create_Application,W_Complete_application,W_Validate_application,W_Call_incomplete_files,A_Denied,_End",1,1.0
198,0.0,2024-05-03T14:00:00.000+00:00,1,0.0,2024-05-03T14:00:00.000+00:00,0.0,1.0,0.0,3600.0,2024-05-06T10:58:04.526000+00:00,1.0,20.0,2024-05-06T09:58:04.526000+00:00,17884.525999999998,6.0,79.36,3600.0,2024-05-03T15:00:00.000+00:00,1,20.0,2024-05-03T14:00:00.000+00:00,3600.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2024-05-06T09:58:04.526000+00:00,1.0,0.0,2024-05-06T08:58:04.526+00:00,14284.526,5.0,59.36,3600.0,2024-05-03T16:00:00.000+00:00,1,20.0,2024-05-03T15:00:00.000+00:00,7200.0,3.0,40.0,3484.526,2024-05-06T08:58:04.526+00:00,1,19.36,2024-05-06T08:00:00.000+00:00,10684.526,4.0,59.36,0.0,2024-05-06T10:58:04.526000+00:00,1,0.0,2024-05-06T10:58:04.526000+00:00,17884.525999999998,7.0,79.36,"_Start,A_Create_Application,W_Complete_application,W_Validate_application,W_Call_incomplete_files,A_Cancelled,_End",1,1.0
196,0.0,2024-05-03T12:00:00.000+00:00,1,0.0,2024-05-03T12:00:00.000+00:00,0.0,1.0,0.0,234000.0,2024-05-06T08:10:25.381+00:00,1.0,20.0,2024-05-03T15:10:25.381+00:00,245425.381,5.0,83.47,3600.0,2024-05-03T13:00:00.000+00:00,1,20.0,2024-05-03T12:00:00.000+00:00,3600.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3600.0,2024-05-03T14:00:00.000+00:00,1,20.0,2024-05-03T13:00:00.000+00:00,7200.0,3.0,40.0,4225.381,2024-05-03T15:10:25.381+00:00,1,23.47,2024-05-03T14:00:00.000+00:00,11425.381000000001,4.0,63.47,0.0,2024-05-06T08:10:25.381+00:00,1,0.0,2024-05-06T08:10:25.381+00:00,245425.381,6.0,83.47,"_Start,A_Create_Application,W_Complete_application,W_Validate_application,A_Cancelled,_End",0,0.0
299,0.0,2024-05-22T11:00:00.000+00:00,1,0.0,2024-05-22T11:00:00.000+00:00,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3600.0,2024-05-22T12:00:00.000+00:00,1,20.0,2024-05-22T11:00:00.000+00:00,3600.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,1.0,20.0,17404.21,6.0,76.69,3600.0,2024-05-22T14:50:04.210000+00:00,1.0,0.0,2024-05-22T13:50:04.210+00:00,13804.21,5.0,56.69,3600.0,2024-05-22T13:00:00.000+00:00,1,20.0,2024-05-22T12:00:00.000+00:00,7200.0,3.0,40.0,3004.21,2024-05-22T13:50:04.210+00:00,1,16.69,2024-05-22T13:00:00.000+00:00,10204.21,4.0,56.69,0.0,2024-05-22T15:50:04.210000+00:00,1,0.0,2024-05-22T15:50:04.210000+00:00,17404.21,7.0,76.69,"_Start,A_Create_Application,W_Complete_application,W_Validate_application,W_Call_incomplete_files,A_Pending,_End",1,1.0
298,0.0,2024-05-22T10:00:00.000+00:00,1,0.0,2024-05-22T10:00:00.000+00:00,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3600.0,2024-05-22T11:00:00.000+00:00,1,20.0,2024-05-22T10:00:00.000+00:00,3600.0,2.0,20.0,3600.0,1.0,20.0,17912.926,6.0,79.52,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2024-05-22T13:58:32.926000+00:00,1.0,0.0,2024-05-22T12:58:32.926+00:00,14312.926,5.0,59.519999999999996,3600.0,2024-05-22T12:00:00.000+00:00,1,20.0,2024-05-22T11:00:00.000+00:00,7200.0,3.0,40.0,3512.926,2024-05-22T12:58:32.926+00:00,1,19.52,2024-05-22T12:00:00.000+00:00,10712.926,4.0,59.519999999999996,0.0,2024-05-22T14:58:32.926000+00:00,1,0.0,2024-05-22T14:58:32.926000+00:00,17912.926,7.0,79.52,"_Start,A_Create_Application,W_Complete_application,W_Validate_application,W_Call_incomplete_files,A_Denied,_End",1,1.0
181,0.0,2024-05-01T13:00:00.000+00:00,1,0.0,2024-05-01T13:00:00.000+00:00,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3600.0,2024-05-01T14:00:00.000+00:00,1,20.0,2024-05-01T13:00:00.000+00:00,3600.0,2.0,20.0,61200.0,1.0,20.0,75543.33499999999,6.0,79.69,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2024-05-01T16:59:03.335000+00:00,1.0,0.0,2024-05-01T15:59:03.335+00:00,14343.335,5.0,59.69,3600.0,2024-05-01T15:00:00.000+00:00,1,20.0,2024-05-01T14:00:00.000+00:00,7200.0,3.0,40.0,3543.335,2024-05-01T15:59:03.335+00:00,1,19.69,2024-05-01T15:00:00.000+00:00,10743.335,4.0,59.69,0.0,2024-05-02T09:59:03.335000+00:00,1,0.0,2024-05-02T09:59:03.335000+00:00,75543.33499999999,7.0,79.69,"_Start,A_Create_Application,W_Complete_application,W_Validate_application,W_Call_incomplete_files,A_Denied,_End",1,1.0
26,0.0,2024-04-04T10:00:00.000+00:00,1,0.0,2024-04-04T10:00:00.000+00:00,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3600.0,2024-04-04T11:00:00.000+00:00,1,20.0,2024-04-04T10:00:00.000+00:00,3600.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,1.0,20.0,15114.206,5.0,83.97,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3600.0,2024-04-04T12:00:00.000+00:00,1,20.0,2024-04-04T11:00:00.000+00:00,7200.0,3.0,40.0,4314.206,2024-04-04T13:11:54.206+00:00,1,23.97,2024-04-04T12:00:00.000+00:00,11514.206,4.0,63.97,0.0,2024-04-04T14:11:54.206+00:00,1,0.0,2024-04-04T14:11:54.206+00:00,15114.206,6.0,83.97,"_Start,A_Create_Application,W_Complete_application,W_Validate_application,A_Pending,_End",0,0.0
180,0.0,2024-05-01T12:00:00.000+00:00,1,0.0,2024-05-01T12:00:00.000+00:00,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3600.0,2024-05-01T13:00:00.000+00:00,1,20.0,2024-05-01T12:00:00.000+00:00,3600.0,2.0,20.0,3600.0,1.0,20.0,17939.555,6.0,79.66,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2024-05-01T15:58:59.555000+00:00,1.0,0.0,2024-05-01T14:58:59.555+00:00,14339.555,5.0,59.66,3600.0,2024-05-01T14:00:00.000+00:00,1,20.0,2024-05-01T13:00:00.000+00:00,7200.0,3.0,40.0,3539.555,2024-05-01T14:58:59.555+00:00,1,19.66,2024-05-01T14:00:00.000+00:00,10739.555,4.0,59.66,0.0,2024-05-01T16:58:59.555000+00:00,1,0.0,2024-05-01T16:58:59.555000+00:00,17939.555,7.0,79.66,"_Start,A_Create_Application,W_Complete_application,W_Validate_application,W_Call_incomplete_files,A_Denied,_End",1,1.0
